set_nA,rep,true_nA,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,t_ms,mode,wave_min,wave_max,wave_mean,wave_bad,rng_A,baud,warmup,t_settle_ms,t_warm_ms,t_meas_ms,t_xfer_ms,npz,line
-0.01,3,-0.010108220000000001,-0.009,-0.009,156321,156179,30365,29329,30365,29329,50000,2,2060,59422,30778.2,0,1e-09,115200,always,3491,1021,50526,1096,w_n0000_0100_r3.npz,I=-0.009 nA X=-0.009 nA MODE=2 T=50000ms CAL=-0.009 RAW m=156321 n=156179 INT1=30365 INT2=29329 EXT1=30365 EXT2=29329
-0.015,1,-0.015126369999999998,-0.014,-0.014,156312,156188,30322,3980,30322,3980,50000,2,1907,59533,30786.6,0,1e-09,115200,always,3493,1015,50532,1096,w_n0000_0150_r1.npz,I=-0.014 nA X=-0.014 nA MODE=2 T=50000ms CAL=-0.014 RAW m=156312 n=156188 INT1=30322 INT2=3980 EXT1=30322 EXT2=3980
-0.015,2,-0.01512298,-0.014,-0.014,156318,156182,31196,10985,31196,10985,50000,2,1991,59471,30782.9,0,1e-09,115200,always,3493,1015,50524,1096,w_n0000_0150_r2.npz,I=-0.014 nA X=-0.014 nA MODE=2 T=50000ms CAL=-0.014 RAW m=156318 n=156182 INT1=31196 INT2=10985 EXT1=31196 EXT2=10985
-0.015,3,-0.01512613,-0.014,-0.014,156328,156172,31169,21231,31169,21231,50000,2,1857,59423,30783.5,0,1e-09,115200,always,3493,1015,50507,1096,w_n0000_0150_r3.npz,I=-0.014 nA X=-0.014 nA MODE=2 T=50000ms CAL=-0.014 RAW m=156328 n=156172 INT1=31169 INT2=21231 EXT1=31169 EXT2=21231
-0.02,1,-0.02013391,-0.019,-0.019,156336,156164,30465,12536,30465,12536,50000,2,2074,59577,30782.1,0,1e-09,115200,always,3495,1017,50508,1096,w_n0000_0200_r1.npz,I=-0.019 nA X=-0.019 nA MODE=2 T=50000ms CAL=-0.019 RAW m=156336 n=156164 INT1=30465 INT2=12536 EXT1=30465 EXT2=12536
-0.02,2,-0.02013668,-0.019,-0.019,156377,156123,31271,55145,31271,55145,50000,2,2023,59494,30780.6,0,1e-09,115200,always,3495,1017,50508,1096,w_n0000_0200_r2.npz,I=-0.019 nA X=-0.019 nA MODE=2 T=50000ms CAL=-0.019 RAW m=156377 n=156123 INT1=31271 INT2=55145 EXT1=31271 EXT2=55145
-0.02,3,-0.02013417,-0.019,-0.019,156343,156157,30554,19651,30554,19651,50000,2,2094,59552,30781.1,0,1e-09,115200,always,3495,1017,50512,1096,w_n0000_0200_r3.npz,I=-0.019 nA X=-0.019 nA MODE=2 T=50000ms CAL=-0.019 RAW m=156343 n=156157 INT1=30554 INT2=19651 EXT1=30554 EXT2=19651
-0.03,1,-0.030101066666666666,-0.029,-0.029,31271,31229,31256,25074,31256,25074,10000,2,2090,59540,30749.7,0,1e-09,115200,always,3496,1018,11225,1096,w_n0000_0300_r1.npz,I=-0.029 nA X=-0.029 nA MODE=2 T=10000ms CAL=-0.029 RAW m=31271 n=31229 INT1=31256 INT2=25074 EXT1=31256 EXT2=25074
-0.03,2,-0.030103400000000002,-0.029,-0.029,31278,31222,30502,31597,30502,31597,10000,2,1993,59558,30794.9,0,1e-09,115200,always,3496,1018,11226,1096,w_n0000_0300_r2.npz,I=-0.029 nA X=-0.029 nA MODE=2 T=10000ms CAL=-0.029 RAW m=31278 n=31222 INT1=30502 INT2=31597 EXT1=30502 EXT2=31597
-0.03,3,-0.030103499999999995,-0.029,-0.029,31276,31224,30628,29603,30628,29603,10000,2,1996,59547,30795.0,0,1e-09,115200,always,3496,1018,11226,1096,w_n0000_0300_r3.npz,I=-0.029 nA X=-0.029 nA MODE=2 T=10000ms CAL=-0.029 RAW m=31276 n=31224 INT1=30628 INT2=29603 EXT1=30628 EXT2=29603
-0.05,1,-0.05010007777777777,-0.049,-0.049,31283,31217,31170,24454,31170,24454,10000,2,1999,59495,30759.4,0,1e-09,115200,always,3497,1018,11225,1096,w_n0000_0500_r1.npz,I=-0.049 nA X=-0.049 nA MODE=2 T=10000ms CAL=-0.049 RAW m=31283 n=31217 INT1=31170 INT2=24454 EXT1=31170 EXT2=24454
-0.05,2,-0.050098210000000004,-0.049,-0.049,31286,31214,30622,26970,30622,26970,10000,2,1980,59512,30809.6,0,1e-09,115200,always,3497,1018,12029,1096,w_n0000_0500_r2.npz,I=-0.049 nA X=-0.049 nA MODE=2 T=10000ms CAL=-0.049 RAW m=31286 n=31214 INT1=30622 INT2=26970 EXT1=30622 EXT2=26970
-0.05,3,-0.050098222222222225,-0.049,-0.049,31296,31204,30656,37239,30656,37239,10000,2,2059,59533,30788.7,0,1e-09,115200,always,3497,1018,11229,1096,w_n0000_0500_r3.npz,I=-0.049 nA X=-0.049 nA MODE=2 T=10000ms CAL=-0.049 RAW m=31296 n=31204 INT1=30656 INT2=37239 EXT1=30656 EXT2=37239
-0.1,1,-0.10013055555555557,-0.099,-0.099,31311,31189,30831,20697,30831,20697,10000,2,2022,59490,30751.8,0,1e-09,115200,always,3496,1019,11228,1097,w_n0000_1000_r1.npz,I=-0.099 nA X=-0.099 nA MODE=2 T=10000ms CAL=-0.099 RAW m=31311 n=31189 INT1=30831 INT2=20697 EXT1=30831 EXT2=20697
-0.1,2,-0.100123,-0.099,-0.099,31314,31186,30340,23210,30340,23210,10000,2,1930,59476,30809.3,0,1e-09,115200,always,3496,1019,11231,1097,w_n0000_1000_r2.npz,I=-0.099 nA X=-0.099 nA MODE=2 T=10000ms CAL=-0.099 RAW m=31314 n=31186 INT1=30340 INT2=23210 EXT1=30340 EXT2=23210
-0.1,3,-0.1001233,-0.099,-0.099,31310,31190,30660,19480,30660,19480,10000,2,1975,59469,30807.3,0,1e-09,115200,always,3496,1019,12434,1096,w_n0000_1000_r3.npz,I=-0.099 nA X=-0.099 nA MODE=2 T=10000ms CAL=-0.099 RAW m=31310 n=31190 INT1=30660 INT2=19480 EXT1=30660 EXT2=19480
-0.2,1,-0.20015844444444444,-0.199,-0.199,31384,31116,31177,31481,31177,31481,10000,2,1954,59500,30752.5,0,1e-09,115200,always,3483,1026,11230,1096,w_n0000_2000_r1.npz,I=-0.199 nA X=-0.199 nA MODE=2 T=10000ms CAL=-0.199 RAW m=31384 n=31116 INT1=31177 INT2=31481 EXT1=31177 EXT2=31481
-0.2,2,-0.2001561,-0.199,-0.199,31391,31109,30770,38048,30770,38048,10000,2,2026,59571,30810.2,0,1e-09,115200,always,3483,1026,12029,1096,w_n0000_2000_r2.npz,I=-0.199 nA X=-0.199 nA MODE=2 T=10000ms CAL=-0.199 RAW m=31391 n=31109 INT1=30770 INT2=38048 EXT1=30770 EXT2=38048
-0.2,3,-0.20016055555555556,-0.199,-0.199,31385,31115,30556,31735,30556,31735,10000,2,2022,59433,30804.8,0,1e-09,115200,always,3483,1026,11230,1096,w_n0000_2000_r3.npz,I=-0.199 nA X=-0.199 nA MODE=2 T=10000ms CAL=-0.199 RAW m=31385 n=31115 INT1=30556 INT2=31735 EXT1=30556 EXT2=31735
-0.3,1,-0.30012755555555554,-0.299,-0.299,31461,31039,30819,45597,30819,45597,10000,2,2040,59440,30749.7,0,1e-09,115200,always,3496,1026,11230,1096,w_n0000_3000_r1.npz,I=-0.299 nA X=-0.299 nA MODE=2 T=10000ms CAL=-0.299 RAW m=31461 n=31039 INT1=30819 INT2=45597 EXT1=30819 EXT2=45597
-0.3,2,-0.3001341111111111,-0.299,-0.299,31433,31067,30582,16661,30582,16661,10000,2,1940,59517,30802.6,0,1e-09,115200,always,3496,1026,11229,1097,w_n0000_3000_r2.npz,I=-0.299 nA X=-0.299 nA MODE=2 T=10000ms CAL=-0.299 RAW m=31433 n=31067 INT1=30582 INT2=16661 EXT1=30582 EXT2=16661
-0.3,3,-0.3001322,-0.299,-0.299,31429,31071,30405,12477,30405,12477,10000,2,2015,59563,30793.7,0,1e-09,115200,always,3496,1026,12434,1096,w_n0000_3000_r3.npz,I=-0.299 nA X=-0.299 nA MODE=2 T=10000ms CAL=-0.299 RAW m=31429 n=31071 INT1=30405 INT2=12477 EXT1=30405 EXT2=12477
-0.5,1,-0.5001319999999999,-0.499,-0.499,31571,30929,31253,29951,31253,29951,10000,2,1937,59515,30745.8,0,1e-09,115200,always,3487,1026,11233,1096,w_n0000_5000_r1.npz,I=-0.499 nA X=-0.499 nA MODE=2 T=10000ms CAL=-0.499 RAW m=31571 n=30929 INT1=31253 INT2=29951 EXT1=31253 EXT2=29951
-0.5,2,-0.5001422,-0.499,-0.499,31556,30944,30448,13902,30448,13902,10000,2,2079,59535,30794.0,0,1e-09,115200,always,3487,1026,12031,1097,w_n0000_5000_r2.npz,I=-0.499 nA X=-0.499 nA MODE=2 T=10000ms CAL=-0.499 RAW m=31556 n=30944 INT1=30448 INT2=13902 EXT1=30448 EXT2=13902
-0.5,3,-0.5001388888888889,-0.499,-0.499,31563,30937,30588,21064,30588,21064,10000,2,2014,59472,30806.8,0,1e-09,115200,always,3487,1026,11231,1097,w_n0000_5000_r3.npz,I=-0.499 nA X=-0.499 nA MODE=2 T=10000ms CAL=-0.499 RAW m=31563 n=30937 INT1=30588 INT2=21064 EXT1=30588 EXT2=21064
-1.0,1,-1.00017,-1.001,-1.001,3186,3064,30545,27720,30545,27720,1000,1,2117,59475,30753.6,0,1e-09,115200,always,3496,1027,1203,1096,w_n0001_0000_r1.npz,I=-1.001 nA X=-1.001 nA MODE=1 T=1000ms CAL=-1.001 RAW m=3186 n=3064 INT1=30545 INT2=27720 EXT1=30545 EXT2=27720
-1.0,2,-1.000161111111111,-0.999,-0.999,31889,30611,30603,33197,30603,33197,10000,2,2033,59593,30802.1,0,1e-09,115200,always,3496,1027,11230,1096,w_n0001_0000_r2.npz,I=-0.999 nA X=-0.999 nA MODE=2 T=10000ms CAL=-0.999 RAW m=31889 n=30611 INT1=30603 INT2=33197 EXT1=30603 EXT2=33197
-1.0,3,-1.000157777777778,-0.998,-0.998,31888,30612,30442,32173,30442,32173,10000,2,2075,59514,30806.7,0,1e-09,115200,always,3496,1027,11231,1097,w_n0001_0000_r3.npz,I=-0.998 nA X=-0.998 nA MODE=2 T=10000ms CAL=-0.998 RAW m=31888 n=30612 INT1=30442 INT2=32173 EXT1=30442 EXT2=32173
-2.0,1,-2.00182,-2.002,-2.002,3245,3005,30473,23615,30473,23615,1000,1,1925,59526,30786.6,0,1e-08,115200,always,3497,1026,1180,1096,w_n0002_0000_r1.npz,I=-2.002 nA X=-2.002 nA MODE=1 T=1000ms CAL=-2.002 RAW m=3245 n=3005 INT1=30473 INT2=23615 EXT1=30473 EXT2=23615
-2.0,2,-2.00185,-2.001,-2.001,3257,2993,31197,36696,31197,36696,1000,1,2045,59512,30779.8,0,1e-08,115200,always,3497,1026,1180,1097,w_n0002_0000_r2.npz,I=-2.001 nA X=-2.001 nA MODE=1 T=1000ms CAL=-2.001 RAW m=3257 n=2993 INT1=31197 INT2=36696 EXT1=31197 EXT2=36696
-2.0,3,-2.0018249999999997,-1.998,-1.998,3255,2995,31156,34753,31156,34753,1000,1,2048,59436,30763.0,0,1e-08,115200,always,3497,1026,1186,1096,w_n0002_0000_r3.npz,I=-1.998 nA X=-1.998 nA MODE=1 T=1000ms CAL=-1.998 RAW m=3255 n=2995 INT1=31156 INT2=34753 EXT1=31156 EXT2=34753
-4.0,1,-4.002120000000001,-4.002,-4.002,3358,2892,30215,10466,30215,10466,1000,1,2053,59521,30849.3,0,1e-08,115200,always,3496,1027,1182,1097,w_n0004_0000_r1.npz,I=-4.002 nA X=-4.002 nA MODE=1 T=1000ms CAL=-4.002 RAW m=3358 n=2892 INT1=30215 INT2=10466 EXT1=30215 EXT2=10466
-4.0,2,-4.002106666666666,-4.001,-4.001,3403,2847,31131,57300,31131,57300,1000,1,1887,59463,30658.0,0,1e-08,115200,always,3496,1027,1180,1096,w_n0004_0000_r2.npz,I=-4.001 nA X=-4.001 nA MODE=1 T=1000ms CAL=-4.001 RAW m=3403 n=2847 INT1=31131 INT2=57300 EXT1=31131 EXT2=57300
-4.0,3,-4.002063333333333,-4.001,-4.001,3404,2846,31143,58332,31143,58332,1000,1,1908,59510,30640.2,0,1e-08,115200,always,3496,1027,1181,1097,w_n0004_0000_r3.npz,I=-4.001 nA X=-4.001 nA MODE=1 T=1000ms CAL=-4.001 RAW m=3404 n=2846 INT1=31143 INT2=58332 EXT1=31143 EXT2=58332
