point_nA,rep,mode,t_ms,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,line,true_nA,dev_avg_nA
0.5,1,2,10000,0.503,0.503,30943,31557,31038,29798,31038,29798,I=+0.503 nA X=+0.503 nA MODE=2 T=10000ms RAW m=30943 n=31557 INT1=31038 INT2=29798 EXT1=31038 EXT2=29798,0.4998724285714285,0.503
0.5,2,2,10000,0.503,0.503,30943,31557,30925,29619,30925,29619,I=+0.503 nA X=+0.503 nA MODE=2 T=10000ms RAW m=30943 n=31557 INT1=30925 INT2=29619 EXT1=30925 EXT2=29619,0.4998724285714285,0.503
0.5,3,2,10000,0.503,0.503,30940,31560,31232,26843,31232,26843,I=+0.503 nA X=+0.503 nA MODE=2 T=10000ms RAW m=30940 n=31560 INT1=31232 INT2=26843 EXT1=31232 EXT2=26843,0.4998724285714285,0.503
1.0,1,1,1000,1.007,1.007,3067,3183,30989,35134,30989,35134,I=+1.007 nA X=+1.007 nA MODE=1 T=1000ms RAW m=3067 n=3183 INT1=30989 INT2=35134 EXT1=30989 EXT2=35134,0.9998799999999999,1.0086666666666666
1.0,2,1,1000,1.009,1.009,3059,3191,30425,26302,30425,26302,I=+1.009 nA X=+1.009 nA MODE=1 T=1000ms RAW m=3059 n=3191 INT1=30425 INT2=26302 EXT1=30425 EXT2=26302,0.9998799999999999,1.0086666666666666
1.0,3,1,1000,1.01,1.01,3055,3195,30711,22442,30711,22442,I=+1.010 nA X=+1.010 nA MODE=1 T=1000ms RAW m=3055 n=3195 INT1=30711 INT2=22442 EXT1=30711 EXT2=22442,0.9998799999999999,1.0086666666666666
2.0,1,1,1000,2.008,2.008,3017,3233,31084,48192,31084,48192,I=+2.008 nA X=+2.008 nA MODE=1 T=1000ms RAW m=3017 n=3233 INT1=31084 INT2=48192 EXT1=31084 EXT2=48192,1.9983211111111112,2.017
2.0,2,1,1000,2.02,2.02,2988,3262,30604,17907,30604,17907,I=+2.020 nA X=+2.020 nA MODE=1 T=1000ms RAW m=2988 n=3262 INT1=30604 INT2=17907 EXT1=30604 EXT2=17907,1.9983211111111112,2.017
2.0,3,1,1000,2.023,2.023,2984,3266,30506,13815,30506,13815,I=+2.023 nA X=+2.023 nA MODE=1 T=1000ms RAW m=2984 n=3266 INT1=30506 INT2=13815 EXT1=30506 EXT2=13815,1.9983211111111112,2.017
5.0,1,1,1000,5.037,5.037,2827,3423,31016,46427,31016,46427,I=+5.037 nA X=+5.037 nA MODE=1 T=1000ms RAW m=2827 n=3423 INT1=31016 INT2=46427 EXT1=31016 EXT2=46427,4.9986,5.049333333333333
