gid,kind,peak_nA,ton_ms,period_ms,duty,avg_nA,true_avg_nA,rep,mode,t_ms,dev_nA,i_nA,x_nA,cal_nA,train_s,rb_nA
D:3,dc,3.0,0.0,0.0,1.0,3.0,3.0,3,1,1000,2.995,2.995,2.995,2.995,nan,2.9989866666666667
D:3,dc,3.0,0.0,0.0,1.0,3.0,3.0,4,1,1000,2.996,2.996,2.996,2.996,nan,2.9989966666666663
D:3,dc,3.0,0.0,0.0,1.0,3.0,3.0,5,1,1000,2.995,2.995,2.995,2.995,nan,2.9990666666666668
A7,pulse,40.0,1.0,10.0,0.1,4.0,3.937007874015748,1,1,1000,3.92,3.92,3.92,3.92,17.369541799998842,nan
A7,pulse,40.0,1.0,10.0,0.1,4.0,3.937007874015748,2,1,1000,3.92,3.92,3.92,3.92,17.369541799998842,nan
A7,pulse,40.0,1.0,10.0,0.1,4.0,3.937007874015748,3,1,1000,3.955,3.955,3.955,3.955,17.369541799998842,nan
A7,pulse,40.0,1.0,10.0,0.1,4.0,3.937007874015748,4,1,1000,3.956,3.956,3.956,3.956,17.369541799998842,nan
A7,pulse,40.0,1.0,10.0,0.1,4.0,3.937007874015748,5,1,1000,3.959,3.959,3.959,3.959,17.369541799998842,nan
D:4,dc,4.0,0.0,0.0,1.0,4.0,4.0,1,1,1000,4.0,4.0,4.0,4.0,nan,3.9991100000000004
D:4,dc,4.0,0.0,0.0,1.0,4.0,4.0,2,1,1000,3.995,3.995,3.995,3.995,nan,3.9991133333333337
D:4,dc,4.0,0.0,0.0,1.0,4.0,4.0,3,1,1000,3.997,3.997,3.997,3.997,nan,3.9991466666666664
D:4,dc,4.0,0.0,0.0,1.0,4.0,4.0,4,1,1000,3.995,3.995,3.995,3.995,nan,3.99912
D:4,dc,4.0,0.0,0.0,1.0,4.0,4.0,5,1,1000,3.998,3.998,3.998,3.998,nan,3.9990633333333334
A6,pulse,40.0,1.5,10.0,0.15,6.0,5.905511811023622,1,1,1000,5.931,5.931,5.931,5.931,17.368101800006116,nan
A6,pulse,40.0,1.5,10.0,0.15,6.0,5.905511811023622,2,1,1000,5.933,5.933,5.933,5.933,17.368101800006116,nan
A6,pulse,40.0,1.5,10.0,0.15,6.0,5.905511811023622,3,1,1000,5.886,5.886,5.886,5.886,17.368101800006116,nan
A6,pulse,40.0,1.5,10.0,0.15,6.0,5.905511811023622,4,1,1000,5.932,5.932,5.932,5.932,17.368101800006116,nan
A6,pulse,40.0,1.5,10.0,0.15,6.0,5.905511811023622,5,1,1000,5.932,5.932,5.932,5.932,17.368101800006116,nan
D:6,dc,6.0,0.0,0.0,1.0,6.0,6.0,1,1,1000,5.999,5.999,5.999,5.999,nan,5.999215
D:6,dc,6.0,0.0,0.0,1.0,6.0,6.0,2,1,1000,5.996,5.996,5.996,5.996,nan,5.99923
D:6,dc,6.0,0.0,0.0,1.0,6.0,6.0,3,1,1000,5.996,5.996,5.996,5.996,nan,5.9992
D:6,dc,6.0,0.0,0.0,1.0,6.0,6.0,4,1,1000,5.999,5.999,5.999,5.999,nan,5.999156666666667
D:6,dc,6.0,0.0,0.0,1.0,6.0,6.0,5,1,1000,5.997,5.997,5.997,5.997,nan,5.999173333333333
A5,pulse,40.0,2.0,10.0,0.2,8.0,7.874015748031496,1,1,1000,7.913,7.913,7.913,7.913,17.36998329999915,nan
A5,pulse,40.0,2.0,10.0,0.2,8.0,7.874015748031496,2,1,1000,7.914,7.914,7.914,7.914,17.36998329999915,nan
A5,pulse,40.0,2.0,10.0,0.2,8.0,7.874015748031496,3,1,1000,7.849,7.849,7.849,7.849,17.36998329999915,nan
