set_pA,rep,mode,t_ms,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,true_nA,dev_avg_nA,err_pct
37500.0,1,1,1000,37.877,37.877,783,5467,30642,44480,30642,44480,37.49934166666666,37.87633333333333,1.0053287602160188
37500.0,2,1,1000,37.876,37.876,783,5467,30728,44515,30728,44515,37.49934166666666,37.87633333333333,1.0053287602160188
37500.0,3,1,1000,37.876,37.876,783,5467,30563,44343,30563,44343,37.49934166666666,37.87633333333333,1.0053287602160188
40000.0,1,1,1000,40.424,40.424,589,5661,30693,7041,30693,7041,39.99838,40.42333333333333,1.0624263616009815
40000.0,2,1,1000,40.422,40.422,589,5661,30734,6949,30734,6949,39.99838,40.42333333333333,1.0624263616009815
40000.0,3,1,1000,40.424,40.424,589,5661,30682,7066,30682,7066,39.99838,40.42333333333333,1.0624263616009815
-6000.0,1,1,1000,-6.067,-6.067,3505,2745,30619,32599,30619,32599,-6.0027422222222215,-6.067666666666667,1.0815797520688823
-6000.0,2,1,1000,-6.069,-6.069,3506,2744,30877,33800,30877,33800,-6.0027422222222215,-6.067666666666667,1.0815797520688823
-6000.0,3,1,1000,-6.067,-6.067,3502,2748,30883,29731,30883,29731,-6.0027422222222215,-6.067666666666667,1.0815797520688823
-7000.0,1,1,1000,-7.072,-7.072,3556,2694,31039,20926,31039,20926,-7.002612500000001,-7.072,0.990880189357893
-7000.0,2,1,1000,-7.071,-7.071,3553,2697,31132,17938,31132,17938,-7.002612500000001,-7.072,0.990880189357893
-7000.0,3,1,1000,-7.073,-7.073,3555,2695,31252,20035,31252,20035,-7.002612500000001,-7.072,0.990880189357893
-8000.0,1,1,1000,-8.075,-8.075,3604,2646,31095,5807,31095,5807,-8.00273111111111,-8.074333333333334,0.8947223295158531
-8000.0,2,1,1000,-8.074,-8.074,3602,2648,30942,3593,30942,3593,-8.00273111111111,-8.074333333333334,0.8947223295158531
-8000.0,3,1,1000,-8.074,-8.074,3602,2648,31011,3692,31011,3692,-8.00273111111111,-8.074333333333334,0.8947223295158531
-9000.0,1,1,1000,-9.097,-9.097,3695,2555,30883,34546,30883,34546,-9.00256375,-9.096666666666666,1.0452902004350215
-9000.0,2,1,1000,-9.096,-9.096,3693,2557,31159,32763,31159,32763,-9.00256375,-9.096666666666666,1.0452902004350215
-9000.0,3,1,1000,-9.097,-9.097,3692,2558,31175,31672,31175,31672,-9.00256375,-9.096666666666666,1.0452902004350215
-10000.0,1,1,1000,-10.102,-10.102,3737,2513,30760,12794,30760,12794,-10.002566666666667,-10.114666666666666,1.1207123504967045
-10000.0,2,1,1000,-10.121,-10.121,3780,2470,30850,56968,30850,56968,-10.002566666666667,-10.114666666666666,1.1207123504967045
-10000.0,3,1,1000,-10.121,-10.121,3778,2472,30929,54908,30929,54908,-10.002566666666667,-10.114666666666666,1.1207123504967045
-12500.0,1,1,1000,-12.625,-12.625,3887,2363,30978,5702,30978,5702,-12.50567,-12.624666666666668,0.9515417140118662
-12500.0,2,1,1000,-12.624,-12.624,3886,2364,30812,4537,30812,4537,-12.50567,-12.624666666666668,0.9515417140118662
-12500.0,3,1,1000,-12.625,-12.625,3886,2364,31180,4871,31180,4871,-12.50567,-12.624666666666668,0.9515417140118662
-15000.0,1,1,1000,-15.16,-15.16,4058,2192,31166,19966,31166,19966,-15.006116666666667,-15.158000000000001,1.0121428262030974
-15000.0,2,1,1000,-15.157,-15.157,4058,2192,31012,19968,31012,19968,-15.006116666666667,-15.158000000000001,1.0121428262030974
-15000.0,3,1,1000,-15.157,-15.157,4056,2194,31088,17973,31088,17973,-15.006116666666667,-15.158000000000001,1.0121428262030974
-17500.0,1,1,1000,-17.687,-17.687,4219,2031,31026,23861,31026,23861,-17.50662,-17.68766666666667,1.0341611725545365
-17500.0,2,1,1000,-17.688,-17.688,4224,2026,31123,29144,31123,29144,-17.50662,-17.68766666666667,1.0341611725545365
-17500.0,3,1,1000,-17.688,-17.688,4220,2030,30890,24706,30890,24706,-17.50662,-17.68766666666667,1.0341611725545365
-20000.0,1,1,1000,-20.211,-20.211,4370,1880,30991,17462,30991,17462,-20.007308333333334,-20.211,1.0180863076284081
-20000.0,2,1,1000,-20.21,-20.21,4371,1879,30815,18437,30815,18437,-20.007308333333334,-20.211,1.0180863076284081
-20000.0,3,1,1000,-20.212,-20.212,4372,1878,30845,19415,30845,19415,-20.007308333333334,-20.211,1.0180863076284081
-22500.0,1,1,1000,-22.731,-22.731,4517,1733,30969,7216,30969,7216,-22.50757,-22.731666666666666,0.9956502042053601
-22500.0,2,1,1000,-22.732,-22.732,4517,1733,30893,7079,30893,7079,-22.50757,-22.731666666666666,0.9956502042053601
-22500.0,3,1,1000,-22.732,-22.732,4517,1733,30849,7007,30849,7007,-22.50757,-22.731666666666666,0.9956502042053601
-25000.0,1,1,1000,-25.28,-25.28,4722,1528,30888,56082,30888,56082,-25.007883333333332,-25.27733333333333,1.0774602408707086
-25000.0,2,1,1000,-25.274,-25.274,4710,1540,30934,43902,30934,43902,-25.007883333333332,-25.27733333333333,1.0774602408707086
-25000.0,3,1,1000,-25.278,-25.278,4719,1531,30876,53067,30876,53067,-25.007883333333332,-25.27733333333333,1.0774602408707086
-27500.0,1,1,1000,-27.791,-27.791,4846,1404,30829,22103,30829,22103,-27.50849,-27.791666666666668,1.0294155246859042
-27500.0,2,1,1000,-27.792,-27.792,4846,1404,30794,22033,30794,22033,-27.50849,-27.791666666666668,1.0294155246859042
-27500.0,3,1,1000,-27.792,-27.792,4846,1404,30932,22152,30932,22152,-27.50849,-27.791666666666668,1.0294155246859042
-30000.0,1,1,1000,-30.328,-30.328,5025,1225,30950,44560,30950,44560,-30.008550000000003,-30.329333333333334,1.0689731204384456
-30000.0,2,1,1000,-30.33,-30.33,5025,1225,30932,44452,30932,44452,-30.008550000000003,-30.329333333333334,1.0689731204384456
-30000.0,3,1,1000,-30.33,-30.33,5025,1225,30947,44466,30947,44466,-30.008550000000003,-30.329333333333334,1.0689731204384456
-32500.0,1,1,1000,-32.857,-32.857,5189,1061,30847,51551,30847,51551,-32.50859,-32.85766666666667,1.0737982381477287
-32500.0,2,1,1000,-32.86,-32.86,5194,1056,30895,56641,30895,56641,-32.50859,-32.85766666666667,1.0737982381477287
-32500.0,3,1,1000,-32.856,-32.856,5189,1061,30914,51687,30914,51687,-32.50859,-32.85766666666667,1.0737982381477287
-35000.0,1,1,1000,-35.368,-35.368,5321,929,30976,26208,30976,26208,-35.008725,-35.365,1.0176748796193056
-35000.0,2,1,1000,-35.364,-35.364,5311,939,30810,15774,30810,15774,-35.008725,-35.365,1.0176748796193056
-35000.0,3,1,1000,-35.363,-35.363,5310,940,30963,14919,30963,14919,-35.008725,-35.365,1.0176748796193056
-37500.0,1,1,1000,-37.899,-37.899,5486,764,30892,34116,30892,34116,-37.509181818181816,-37.89933333333334,1.0401493614089035
-37500.0,2,1,1000,-37.899,-37.899,5486,764,30888,34096,30888,34096,-37.509181818181816,-37.89933333333334,1.0401493614089035
-37500.0,3,1,1000,-37.9,-37.9,5486,764,30842,33972,30842,33972,-37.509181818181816,-37.89933333333334,1.0401493614089035
-40000.0,1,1,1000,-40.436,-40.436,5661,589,30848,52210,30848,52210,-40.0091,-40.43633333333333,1.0678403996424155
-40000.0,2,1,1000,-40.437,-40.437,5661,589,30800,52085,30800,52085,-40.0091,-40.43633333333333,1.0678403996424155
-40000.0,3,1,1000,-40.436,-40.436,5661,589,30868,52233,30868,52233,-40.0091,-40.43633333333333,1.0678403996424155
