gid,kind,peak_nA,ton_ms,period_ms,duty,avg_nA,true_avg_nA,rep,mode,t_ms,dev_nA,i_nA,x_nA,cal_nA,train_s,rb_nA
K7,pulse,3600.0,0.2,18.0,0.011111111111111113,40.00000000000001,39.647577092511014,3,1,1000,39.232,39.232,39.232,39.232,17.354533000005176,nan
K7,pulse,3600.0,0.2,18.0,0.011111111111111113,40.00000000000001,39.647577092511014,4,1,1000,39.192,39.192,39.192,39.192,17.354533000005176,nan
K7,pulse,3600.0,0.2,18.0,0.011111111111111113,40.00000000000001,39.647577092511014,5,1,1000,39.216,39.216,39.216,39.216,17.354533000005176,nan
K8,pulse,4000.0,0.2,20.0,0.01,40.0,39.682539682539684,1,1,1000,39.446,39.446,39.446,39.446,17.349488600004406,nan
K8,pulse,4000.0,0.2,20.0,0.01,40.0,39.682539682539684,2,1,1000,39.456,39.456,39.456,39.456,17.349488600004406,nan
K8,pulse,4000.0,0.2,20.0,0.01,40.0,39.682539682539684,3,1,1000,39.435,39.435,39.435,39.435,17.349488600004406,nan
K8,pulse,4000.0,0.2,20.0,0.01,40.0,39.682539682539684,4,1,1000,39.434,39.434,39.434,39.434,17.349488600004406,nan
K8,pulse,4000.0,0.2,20.0,0.01,40.0,39.682539682539684,5,1,1000,39.406,39.406,39.406,39.406,17.349488600004406,nan
D:40,dc,40.0,0.0,0.0,1.0,40.0,40.0,1,1,1000,39.996,39.996,39.996,39.996,nan,39.99985
D:40,dc,40.0,0.0,0.0,1.0,40.0,40.0,2,1,1000,39.998,39.998,39.998,39.998,nan,39.999674999999996
D:40,dc,40.0,0.0,0.0,1.0,40.0,40.0,3,1,1000,39.998,39.998,39.998,39.998,nan,39.999900000000004
D:40,dc,40.0,0.0,0.0,1.0,40.0,40.0,4,1,1000,39.997,39.997,39.997,39.997,nan,39.99975
D:40,dc,40.0,0.0,0.0,1.0,40.0,40.0,5,1,1000,39.998,39.998,39.998,39.998,nan,40.000049999999995
