set_nA,rep,true_nA,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,t_ms,mode,wave_min,wave_max,wave_mean,wave_bad,rng_A,baud,warmup,t_settle_ms,t_warm_ms,t_meas_ms,t_xfer_ms,npz,line
20.0,1,19.9976,20.201,20.201,1879,4371,30607,40872,30607,40872,1000,1,2266,59668,31241.8,0,1e-07,921600,always,3250,1005,1037,147,w_p0020_0000_r1.npz,I=+20.201 nA X=+20.201 nA MODE=1 T=1000ms RAW m=1879 n=4371 INT1=30607 INT2=40872 EXT1=30607 EXT2=40872
20.0,2,19.997500000000002,20.203,20.203,1875,4375,30634,36824,30634,36824,1000,1,2101,59700,31222.8,0,1e-07,921600,always,3250,1005,1275,147,w_p0020_0000_r2.npz,I=+20.203 nA X=+20.203 nA MODE=1 T=1000ms RAW m=1875 n=4375 INT1=30634 INT2=36824 EXT1=30634 EXT2=36824
-20.0,1,-20.007575,-20.212,-20.212,4371,1879,31116,18574,31116,18574,1000,1,1867,59361,30346.0,0,1e-07,921600,always,3500,1030,1273,147,w_n0020_0000_r1.npz,I=-20.212 nA X=-20.212 nA MODE=1 T=1000ms RAW m=4371 n=1879 INT1=31116 INT2=18574 EXT1=31116 EXT2=18574
-20.0,2,-20.007350000000002,-20.209,-20.209,4370,1880,30809,17412,30809,17412,1000,1,1767,59312,30337.6,0,1e-07,921600,always,3500,1030,1277,147,w_n0020_0000_r2.npz,I=-20.209 nA X=-20.209 nA MODE=1 T=1000ms RAW m=4370 n=1880 INT1=30809 INT2=17412 EXT1=30809 EXT2=17412
