set_nA,rep,true_nA,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,t_ms,mode,wave_min,wave_max,wave_mean,wave_bad,rng_A,baud,warmup,t_settle_ms,t_warm_ms,t_meas_ms,t_xfer_ms,npz,line
0.01,3,0.009824812,0.01,0.01,156269,156231,30765,40087,30765,40087,50000,2,2124,59467,30783.4,0,1e-09,115200,always,3495,1013,50513,1096,w_p0000_0100_r3.npz,I=+0.010 nA X=+0.010 nA MODE=2 T=50000ms CAL=+0.010 RAW m=156269 n=156231 INT1=30765 INT2=40087 EXT1=30765 EXT2=40087
0.015,1,0.014841070000000001,0.015,0.015,156234,156266,30913,20587,30913,20587,50000,2,2022,59525,30774.1,0,1e-09,115200,always,3495,1016,50558,1096,w_p0000_0150_r1.npz,I=+0.015 nA X=+0.015 nA MODE=2 T=50000ms CAL=+0.015 RAW m=156234 n=156266 INT1=30913 INT2=20587 EXT1=30913 EXT2=20587
0.015,2,0.01484558,0.015,0.015,156256,156244,30889,43067,30889,43067,50000,2,2048,59555,30769.1,0,1e-09,115200,always,3495,1016,50590,1096,w_p0000_0150_r2.npz,I=+0.015 nA X=+0.015 nA MODE=2 T=50000ms CAL=+0.015 RAW m=156256 n=156244 INT1=30889 INT2=43067 EXT1=30889 EXT2=43067
0.015,3,0.014839399999999999,0.015,0.015,156264,156236,30560,50842,30560,50842,50000,2,2024,59443,30775.6,0,1e-09,115200,always,3495,1016,50731,1096,w_p0000_0150_r3.npz,I=+0.015 nA X=+0.015 nA MODE=2 T=50000ms CAL=+0.015 RAW m=156264 n=156236 INT1=30560 INT2=50842 EXT1=30560 EXT2=50842
0.02,1,0.019857769999999997,0.02,0.02,156221,156279,31030,23540,31030,23540,50000,2,1959,59521,30771.1,0,1e-09,115200,always,3495,1020,50633,1096,w_p0000_0200_r1.npz,I=+0.020 nA X=+0.020 nA MODE=2 T=50000ms CAL=+0.020 RAW m=156221 n=156279 INT1=31030 INT2=23540 EXT1=31030 EXT2=23540
0.02,2,0.01985325,0.02,0.02,156205,156295,30930,7085,30930,7085,50000,2,2075,59487,30771.9,0,1e-09,115200,always,3495,1020,50571,1096,w_p0000_0200_r2.npz,I=+0.020 nA X=+0.020 nA MODE=2 T=50000ms CAL=+0.020 RAW m=156205 n=156295 INT1=30930 INT2=7085 EXT1=30930 EXT2=7085
0.02,3,0.01985611,0.02,0.02,156210,156290,31311,12559,31311,12559,50000,2,1987,59471,30769.7,0,1e-09,115200,always,3495,1020,50544,1096,w_p0000_0200_r3.npz,I=+0.020 nA X=+0.020 nA MODE=2 T=50000ms CAL=+0.020 RAW m=156210 n=156290 INT1=31311 INT2=12559 EXT1=31311 EXT2=12559
0.03,1,0.02981536666666667,0.03,0.03,31249,31251,31198,40964,31198,40964,10000,2,1973,59465,30756.3,0,1e-09,115200,always,3497,1014,11225,1096,w_p0000_0300_r1.npz,I=+0.030 nA X=+0.030 nA MODE=2 T=10000ms CAL=+0.030 RAW m=31249 n=31251 INT1=31198 INT2=40964 EXT1=31198 EXT2=40964
0.03,2,0.029816799999999994,0.03,0.03,31244,31256,30803,35689,30803,35689,10000,2,2046,59512,30747.8,0,1e-09,115200,always,3497,1014,11230,1096,w_p0000_0300_r2.npz,I=+0.030 nA X=+0.030 nA MODE=2 T=10000ms CAL=+0.030 RAW m=31244 n=31256 INT1=30803 INT2=35689 EXT1=30803 EXT2=35689
0.03,3,0.029821433333333335,0.03,0.03,31241,31259,31113,32742,31113,32742,10000,2,1929,59592,30753.5,0,1e-09,115200,always,3497,1014,11228,1096,w_p0000_0300_r3.npz,I=+0.030 nA X=+0.030 nA MODE=2 T=10000ms CAL=+0.030 RAW m=31241 n=31259 INT1=31113 INT2=32742 EXT1=31113 EXT2=32742
